EmployeeID,Attrition,OverTime,Salary,SalaryRange,HireDate,Gender,Department,JobRole,BusinessTravel,MaritalStatus,State,EducationLevel,PerformanceRating,JobSatisfaction,Age
EMP-1040,No,No,51800,50k-60k,2020-03-25,Female,Manufacturing,Process Engineer,Travel_Rarely,Married,Nevada,Bachelor's,Excellent,High,30
EMP-1041,Yes,Yes,38200,30k-40k,2022-08-14,Male,Sales,Field Sales Rep,Travel_Frequently,Single,Texas,High School,Good,Low,25
EMP-1042,No,No,66900,60k-70k,2018-12-03,Female,Engineering,QA Engineer,Travel_Rarely,Married,California,Bachelor's,Excellent,High,34
EMP-1043,No,Yes,54600,50k-60k,2019-10-08,Male,Manufacturing,Maintenance Technician,Travel_Rarely,Divorced,Nevada,Associate's,Good,Medium,33
EMP-1044,No,No,79100,70k+,2017-04-19,Female,Engineering,Data Engineer,Travel_Rarely,Married,California,Master's,Outstanding,Very High,38
EMP-1045,Yes,Yes,41900,40k-50k,2021-09-27,Male,Sales,Sales Coordinator,Travel_Frequently,Single,New York,Bachelor's,Good,Low,26
EMP-1046,No,No,87200,70k+,2016-08-12,Female,Engineering,Machine Learning Engineer,Travel_Rarely,Married,California,PhD,Outstanding,Very High,41
EMP-1047,No,No,46800,40k-50k,2020-06-30,Male,Human Resources,Payroll Specialist,Non-Travel,Married,Nevada,Bachelor's,Excellent,Medium,29
EMP-1048,Yes,Yes,35600,30k-40k,2023-05-11,Female,Manufacturing,Line Operator,Non-Travel,Single,Texas,High School,Good,Low,21
EMP-1049,No,Yes,62300,60k-70k,2019-01-22,Male,Engineering,DevOps Engineer,Travel_Rarely,Married,California,Bachelor's,Excellent,High,32
EMP-1050,No,No,73400,70k+,2017-10-06,Female,Engineering,Product Manager,Travel_Rarely,Married,California,Master's,Outstanding,Very High,39
